Image,ImageSize,ImageValue,HueValue,SatValue
Image1,35,113803,53.1,106.2
Image2,35,373450,8.05,16.1
Image3,54,17463,51.8625,103.725
Image4,2,349909,21.075,42.15
Image5,27,347742,11.1333,22.2666
Image6,14,237736,30.0708,60.1416
Image7,58,113783,26.55,53.1
Image8,39,347082,31.275,62.55
Image9,14,350406,7.8542,15.7084
Image10,55,248706,16,32
Image11,2,382652,29.125,58.25
Image12,31,345763,18,36
Image13,35,239865,26,52
Image14,34,248698,13,26
Image15,15,330923,8.0292,16.0584
Image16,28,113788,35.5,71
Image17,8,349909,21.075,42.15
Image18,38,347077,31.3875,62.775
Image19,19,19950,263,526
Image20,42,113789,52,104
Image21,18,345764,18,36
Image22,14,2651,11.2417,22.4834
Image23,40,7546,9.475,18.95
Image24,27,11668,21,42
Image25,19,330958,7.8792,15.7584
Image26,18,349237,17.8,35.6
Image27,7,3101295,39.6875,79.375
Image28,29,2926,26,52
Image29,65,113509,61.9792,123.9584
Image30,28.5,2697,7.2292,14.4584
Image31,22,2669,7.2292,14.4584
Image32,38,113572,80,160
Image33,45,36973,83.475,166.95
Image34,4,347088,27.9,55.8
Image35,17,3101281,7.925,15.85
Image36,26,315151,8.6625,17.325
Image37,26,2680,14.4542,28.9084
Image38,32,1601,56.4958,112.9916
Image39,25,348123,7.65,15.3
Image40,0.83,248738,29,58
Image41,30,364516,12.475,24.95
Image42,22,345767,9,18
Image43,29,345779,9.5,19
Image44,28,113059,47.1,94.2
Image45,33,3101278,15.85,31.7
Image46,23,19950,263,526
Image47,24,343275,8.05,16.1
Image48,29,343276,8.05,16.1
Image49,20,347466,7.8542,15.7084
Image50,59,364500,7.25,14.5
Image51,34,231919,23,46
Image52,34,244367,26,52
Image53,28,349245,7.8958,15.7916
Image54,21,35281,77.2875,154.575
Image55,33,7540,8.6542,17.3084
Image56,37,3101276,7.925,15.85
Image57,28,349207,7.8958,15.7916
Image58,21,343120,7.65,15.3
Image59,38,349249,7.8958,15.7916
Image60,47,110465,52,104
Image61,14.5,2665,14.4542,28.9084
Image62,22,324669,8.05,16.1
Image63,20,4136,9.825,19.65
Image64,17,2627,14.4583,28.9166
Image65,70.5,370369,7.75,15.5
Image66,29,11668,21,42
Image67,2,347082,31.275,62.55
Image68,32.5,237736,30.0708,60.1416
Image69,32.5,27267,13,26
Image70,54,35281,77.2875,154.575
Image71,12,2651,11.2417,22.4834
Image72,45,347061,6.975,13.95
Image73,33,349241,7.8958,15.7916
Image74,29,228414,26,52
Image75,19,11752,26.2833,52.5666
Image76,37,113803,53.1,106.2
Image77,16,7534,9.2167,18.4334
Image78,22,347081,7.75,15.5
Image79,19,365222,6.75,13.5
Image80,18,231945,11.5,23
Image81,27,350043,7.7958,15.5916
Image82,36.5,230080,26,52
Image83,42,244310,13,26
Image84,22,113776,66.6,133.2
Image85,16,35851,7.7333,15.4666
Image86,44,371362,16.1,32.2
Image87,26,347068,7.775,15.55
Image88,17,315093,8.6625,17.325
Image89,1,3101295,39.6875,79.375
Image90,9,363291,20.525,41.05
Image91,45,347088,27.9,55.8
Image92,28,1601,56.4958,112.9916
Image93,61,111240,33.5,67
Image94,4,382652,29.125,58.25
Image95,1,347742,11.1333,22.2666
Image96,56,17764,30.6958,61.3916
Image97,18,350404,7.8542,15.7084
Image98,30,250653,13,26
Image99,9,347077,31.3875,62.775
Image100,1,230136,39,78
Image101,4,315153,22.025,44.05
Image102,45,111428,26.55,53.1
Image103,40,364849,15.5,31
Image104,36,349247,7.8958,15.7916
Image105,32,234604,13,26
